Elapsed	LV66-A_dCas9	LV66-B_dCas9	LV66-C_dCas9	LV66-D_dCas9	LV66-E_dCas9	LV66-F_dCas9	LV66-A_Cas9	LV66-B_Cas9	LV66-C_Cas9	LV66-D_Cas9	LV66-E_Cas9	LV66-F_Cas9	LV66-A_dCas9 (Std Err Well)	LV66-B_dCas9 (Std Err Well)	LV66-C_dCas9 (Std Err Well)	LV66-D_dCas9 (Std Err Well)	LV66-E_dCas9 (Std Err Well)	LV66-F_dCas9 (Std Err Well)	LV66-A_Cas9 (Std Err Well)	LV66-B_Cas9 (Std Err Well)	LV66-C_Cas9 (Std Err Well)	LV66-D_Cas9 (Std Err Well)	LV66-E_Cas9 (Std Err Well)	LV66-F_Cas9 (Std Err Well)
46	40.61704	50.11288	49.73441	43.28901	41.74403	49.06534	30.40045	29.3414	26.4458	30.96012	30.24979	32.61149	1.541155	11.15527	2.811802	1.75062	3.238379	4.013119	3.977161	2.152449	2.759653	4.666449	3.392932	4.335228
48	42.26016	51.90844	51.78573	45.18188	43.93346	51.08343	31.13093	30.51019	27.53972	32.46799	31.79392	34.35529	1.392439	11.38648	2.716997	1.927343	3.416273	4.057825	4.236132	2.292128	2.955094	4.873406	3.507583	4.448788
50	44.25448	54.06359	53.81525	47.37474	45.77251	53.16361	31.53252	31.84187	28.44503	33.07689	33.33709	35.90158	1.409403	11.02352	2.636269	1.752463	3.551928	4.141294	4.351178	2.201504	2.870767	4.830507	3.626414	4.6586
52	45.97077	55.71772	55.72718	49.43638	47.98976	55.2512	32.20551	33.09974	29.46474	34.0754	35.09341	37.51586	1.243137	11.18342	2.353916	1.702318	3.650879	3.978817	4.541157	2.452425	3.076379	5.095816	3.752139	4.815275
54	47.65961	57.8844	57.6174	51.56457	50.0208	56.96595	32.34196	34.41732	30.18766	34.226	36.92574	39.55728	1.189085	10.67888	2.360939	1.694908	3.843586	3.630922	4.623001	2.366234	3.141055	5.503746	3.966568	4.934052
56	49.51819	60.01234	59.70958	53.77414	52.45088	59.62686	32.91014	35.87038	31.0322	35.59402	39.24046	41.37051	1.321865	10.59898	2.037987	1.554114	4.266302	4.124737	4.671474	2.508211	3.52817	5.186661	4.158087	5.009315
58	51.46486	61.85257	61.85351	55.52461	54.58275	61.75639	33.05826	37.04254	31.90454	35.03962	39.45287	42.83428	1.153006	10.75839	2.129076	1.757553	3.975971	4.226349	4.583241	2.398256	3.231329	6.09459	5.547049	4.406763
60	53.77728	64.51355	64.26286	58.27764	56.96544	64.30462	33.5921	38.56396	33.29256	37.16833	43.11668	46.02769	1.137884	10.32848	2.033691	1.351658	3.991053	4.325035	4.714688	2.774485	3.334994	5.374527	3.910152	5.398586
62	55.67676	66.68882	66.60788	60.73079	59.37718	66.67456	33.63422	39.80241	33.72387	37.89153	45.43088	48.19119	1.039528	10.15571	2.076859	1.300854	4.201538	4.417393	4.787407	2.363878	3.783876	5.490999	4.291935	5.674431
64	57.92439	68.94558	69.1158	63.10453	61.98992	69.30961	33.97175	41.0449	35.06767	38.62952	47.45731	50.16664	0.8709679	9.91884	2.176765	1.443483	4.535849	4.295929	4.818069	2.595711	3.602513	5.654694	4.372812	5.712004
66	57.29856	69.38969	68.45359	62.62181	61.45722	69.55148	24.45889	34.47912	28.27571	25.65626	46.39692	49.41822	0.1878491	11.063	1.742424	2.569178	5.236969	4.104156	2.225494	3.120633	0.7774086	3.966678	4.80208	6.866154
68	59.32673	71.29486	68.82447	64.52771	63.99055	71.49919	22.18643	34.08865	28.73194	25.26331	46.44907	52.01162	0.1418934	10.91817	3.268044	2.807915	5.031334	4.021839	1.945986	2.775669	0.7256479	4.037632	6.306765	6.710091
70	61.93504	73.45964	71.33468	67.17351	65.96726	73.82487	22.25572	36.45771	29.76421	25.98032	50.62298	54.69952	0.05880547	10.64054	0.37883	2.890305	5.391407	3.999058	1.941228	3.499315	1.02036	4.096228	4.850155	6.967354
72	64.2555	75.44151	74.78114	69.59421	68.28603	76.09615	22.48867	38.18827	30.96225	27.00944	53.18807	57.23217	0.03260422	10.25778	1.134045	2.692642	5.396116	3.922886	1.93205	3.67651	1.064232	4.249044	5.016253	7.133831
74	66.6618	77.2783	77.06106	72.00191	70.04402	78.30178	22.10095	39.32194	31.90252	27.72409	55.20203	59.56588	0.1032372	9.861446	0.9327508	2.613747	6.000767	3.864483	1.900007	3.438471	1.150451	4.289899	4.83638	7.08263
76	69.52766	79.55053	79.67815	75.07603	72.86407	80.99707	22.91638	41.13235	33.29047	28.99089	58.10275	62.42276	0.01865387	9.208344	0.9274025	2.353558	5.886696	3.746956	1.96658	3.648474	1.219263	4.322331	5.066916	7.164394
