Elapsed	A1.1	A1.2	A1.3	A1.4	A1.5	A1.6	A1.7	A1.8	A1.9	A1.10	A1.11	A1.12	A1.13	A1.14	A1.15	A1.16	A1.17	A1.18	A1.19	A1.20	A1.21	A1.22	A1.23	A1.24	A1.25	B1.1	B1.2	B1.3	B1.4	B1.5	B1.6	B1.7	B1.8	B1.9	B1.10	B1.11	B1.12	B1.13	B1.14	B1.15	B1.16	B1.17	B1.18	B1.19	B1.20	B1.21	B1.22	B1.23	B1.24	B1.25	C1.1	C1.2	C1.3	C1.4	C1.5	C1.6	C1.7	C1.8	C1.9	C1.10	C1.11	C1.12	C1.13	C1.14	C1.15	C1.16	C1.17	C1.18	C1.19	C1.20	C1.21	C1.22	C1.23	C1.24	C1.25	D1.1	D1.2	D1.3	D1.4	D1.5	D1.6	D1.7	D1.8	D1.9	D1.10	D1.11	D1.12	D1.13	D1.14	D1.15	D1.16	D1.17	D1.18	D1.19	D1.20	D1.21	D1.22	D1.23	D1.24	D1.25	A12.1	A12.2	A12.3	A12.4	A12.5	A12.6	A12.7	A12.8	A12.9	A12.10	A12.11	A12.12	A12.13	A12.14	A12.15	A12.16	A12.17	A12.18	A12.19	A12.20	A12.21	A12.22	A12.23	A12.24	A12.25	B12.1	B12.2	B12.3	B12.4	B12.5	B12.6	B12.7	B12.8	B12.9	B12.10	B12.11	B12.12	B12.13	B12.14	B12.15	B12.16	B12.17	B12.18	B12.19	B12.20	B12.21	B12.22	B12.23	B12.24	B12.25	C12.1	C12.2	C12.3	C12.4	C12.5	C12.6	C12.7	C12.8	C12.9	C12.10	C12.11	C12.12	C12.13	C12.14	C12.15	C12.16	C12.17	C12.18	C12.19	C12.20	C12.21	C12.22	C12.23	C12.24	C12.25	D12.1	D12.2	D12.3	D12.4	D12.5	D12.6	D12.7	D12.8	D12.9	D12.10	D12.11	D12.12	D12.13	D12.14	D12.15	D12.16	D12.17	D12.18	D12.19	D12.20	D12.21	D12.22	D12.23	D12.24	D12.25
68	0.9686267	1.194571	1.612634	1.815171	1.358936	1.060697	1.362116	1.911119	2.33271	1.632635	1.141918	1.040638	1.786154	3.519935	1.874339	1.22351	1.331281	2.283628	2.811476	1.975742	1.161675	1.381767	1.491652	1.791572	2.230791	1.715	1.500183	2.102048	2.036649	1.701048	1.290215	1.689448	2.599916	2.33589	1.862381	1.350047	1.360726	2.738638	2.54945	1.971599	1.526256	1.31173	1.954155	2.466335	1.924702	1.422699	1.50882	1.696317	1.561411	1.616438	3.304178	3.659747	3.002771	3.033889	2.102205	4.632742	4.359363	4.389709	4.057285	3.667942	3.092094	2.947455	3.441066	5.400588	5.592741	3.098055	3.25843	2.682583	2.789743	2.371353	3.234025	2.857617	2.842841	2.627895	1.754682	2.04966	2.117052	2.143414	2.055735	1.683349	2.322611	2.378616	3.711545	3.291965	3.133857	3.887628	2.891647	3.554973	3.948769	4.221783	3.880257	4.507535	3.33292	3.293811	2.024366	3.527488	2.720698	3.046937	2.082642	1.542703	1.720585	1.743309	1.52484	2.003687	2.585676	1.498598	1.726555	1.592962	2.133652	2.710604	1.634661	1.974915	2.426608	2.935962	1.87163	1.603093	3.132499	4.576419	2.189537	1.779103	1.917884	2.778719	2.971846	1.846584	1.955408	1.524539	1.627383	1.698573	1.872059	1.647065	1.713201	1.677685	2.415545	2.232161	1.775305	1.447168	1.685512	4.665433	3.462178	1.956361	1.606626	2.211353	2.708355	2.419515	1.882275	1.578289	1.944555	2.233045	1.752797	1.775174	2.88731	3.13178	2.663175	3.690619	4.420095	2.492154	3.10419	4.522458	4.647159	5.279671	3.538539	5.525086	5.463616	4.888402	3.885748	5.818583	4.680868	4.17806	3.619779	3.685563	3.191949	3.095605	3.037021	2.492549	2.790414	6.048456	5.479596	4.921861	2.358752	1.984407	4.205004	4.523499	4.768711	3.099351	2.177845	3.519129	3.266063	3.013855	2.935627	2.248245	3.231421	3.4807	3.386903	5.057524	2.416337	2.856924	3.345107	3.389444	5.822797	4.317536
70	0.9406595	1.254828	1.570464	1.669002	1.309255	1.030421	1.343455	2.048397	2.247174	1.6106	1.108256	1.019545	1.805344	3.570752	1.780153	1.169822	1.266657	2.260797	2.595678	2.002675	1.125172	1.337219	1.416533	1.736666	2.325168	1.750638	1.464553	2.003405	2.008192	1.64352	1.2535	1.716151	2.534835	2.26083	1.842964	1.3006	1.316826	2.687867	2.480453	1.932627	1.478855	1.252103	1.972439	2.38744	1.868944	1.3537	1.433244	1.692998	1.505135	1.572361	3.312486	3.679125	3.005269	3.032123	2.101841	4.681489	4.371727	4.434195	4.075119	3.651621	3.088583	2.947757	3.449467	5.456189	5.628391	3.092658	3.26063	2.681689	2.788878	2.373204	3.232908	2.860933	2.842985	2.629719	1.754682	2.04966	2.117052	2.143414	2.055735	1.683349	2.322611	2.378453	3.721921	3.303946	3.143128	3.882879	2.898939	3.557867	3.986209	4.217774	3.890563	4.495499	3.342633	3.302283	2.024421	3.523716	2.719665	3.050326	2.082642	1.542703	1.662362	1.71136	1.469063	1.964905	2.556094	1.46199	1.706317	1.53119	2.137327	2.669925	1.559289	2.056119	2.310275	2.896916	1.748315	1.566211	3.15548	4.52273	2.247223	1.748753	1.935246	2.722319	2.965525	1.802351	1.948083	1.484933	1.602126	1.67887	1.754093	1.623791	1.637706	1.661186	2.390171	2.160001	1.808839	1.420528	1.745072	4.70167	3.185726	1.922633	1.563759	2.279328	2.731982	2.407344	1.824816	1.540124	1.870751	2.197926	1.70664	1.727377	2.887892	3.13178	2.663175	3.691708	4.451498	2.492154	3.104939	4.551036	4.668387	5.37408	3.538239	5.6041	5.512264	4.909677	3.897565	5.837887	4.719051	4.187105	3.621373	3.692856	3.190212	3.094801	3.038357	2.492549	2.790414	6.039296	5.512439	5.021996	2.358752	1.984407	4.208092	4.536436	4.823618	3.076099	2.177845	3.517311	3.27001	3.029601	2.959198	2.248245	3.232527	3.4807	3.405015	4.985069	2.41938	2.859812	3.347586	3.39404	5.897455	4.289484
72	0.8769435	1.136191	1.550375	1.68794	1.271325	0.9917156	1.281728	2.054178	2.237225	1.598681	1.077137	0.9725887	1.778301	3.771552	1.728861	1.123273	1.208093	2.126859	2.644264	2.003716	1.091161	1.268226	1.39166	1.80179	2.195431	1.669011	1.403921	1.908973	1.927687	1.636197	1.210692	1.666189	2.54937	2.219442	1.775487	1.268302	1.266593	2.876624	2.42292	1.89401	1.440387	1.230081	1.958634	2.350322	1.828355	1.302968	1.430688	1.628132	1.484537	1.529126	3.303621	3.665797	3.016196	3.03623	2.102205	4.700315	4.395188	4.434918	4.064249	3.659834	3.08754	2.945907	3.446583	5.577984	5.620039	3.100621	3.255258	2.685338	2.789114	2.374772	3.231653	2.860353	2.840076	2.628332	1.754682	2.04966	2.117052	2.143414	2.055735	1.683349	2.32115	2.377244	3.721003	3.3052	3.146895	3.876826	2.901775	3.558609	4.00354	4.214748	3.870075	4.499702	3.342802	3.296847	2.024189	3.516073	2.718787	3.048377	2.082595	1.542703	1.619502	1.667367	1.422179	1.851492	2.470268	1.396934	1.670058	1.506805	2.091118	2.640026	1.496562	1.94952	2.341072	2.694311	1.70638	1.503854	3.138828	4.731596	2.225237	1.717838	1.826709	2.85685	3.021128	1.797346	1.913063	1.446319	1.561128	1.616518	1.707617	1.53385	1.622786	1.620864	2.276658	2.134094	1.759864	1.467409	1.565887	5.068565	3.170966	1.853475	1.530425	2.162725	2.670492	2.310618	1.830977	1.494161	1.798143	2.157932	1.712231	1.704749	2.890013	3.13178	2.662776	3.690384	4.454076	2.492154	3.104939	4.58411	4.666798	5.414718	3.538312	5.632973	5.613595	4.936436	3.914845	5.841565	4.770836	4.188588	3.621541	3.695599	3.188038	3.095042	3.040319	2.492549	2.790414	6.055112	5.471712	5.040914	2.358752	1.984407	4.207238	4.524735	4.909969	3.08295	2.177845	3.5237	3.269305	3.078789	2.975302	2.248245	3.235212	3.4807	3.400308	5.022752	2.419114	2.860215	3.349646	3.394894	5.906691	4.292879
74	0.8482147	1.110643	1.535352	1.606125	1.225771	0.9798905	1.295448	1.991387	2.208565	1.59599	1.056911	0.9450295	1.778363	4.157614	1.754478	1.12185	1.115204	2.009366	2.762349	1.958552	1.063496	1.218664	1.361745	1.658069	2.172084	1.702441	1.369261	1.864995	1.896245	1.620172	1.175933	1.621504	2.485232	2.243966	1.731098	1.229442	1.237862	2.823112	2.404681	1.932267	1.372939	1.21124	1.975248	2.256404	1.728095	1.269282	1.391129	1.592811	1.461056	1.504752	3.297722	3.668674	3.015214	3.037093	2.102205	4.722847	4.373227	4.46196	4.04826	3.65009	3.090313	2.947197	3.457413	5.529885	5.67588	3.098696	3.258464	2.693486	2.790468	2.374028	3.229871	2.861748	2.841989	2.633836	1.754682	2.04966	2.117052	2.143414	2.055735	1.683349	2.32253	2.378111	3.720809	3.305424	3.153056	3.860173	2.898739	3.572909	3.992695	4.226857	3.868779	4.498285	3.349808	3.271214	2.024131	3.517889	2.717158	3.056119	2.082642	1.542703	1.611082	1.640224	1.383909	1.885498	2.471481	1.394896	1.632674	1.464774	2.066199	2.609437	1.47285	1.887461	2.201428	2.76027	1.692986	1.433755	3.063927	4.994695	2.338501	1.64479	1.781346	2.677705	3.040596	1.778877	1.850412	1.431494	1.557235	1.571328	1.676264	1.528912	1.586314	1.607532	2.276083	2.080982	1.729818	1.377244	1.704574	5.296348	3.164653	1.842991	1.463046	2.097865	2.577015	2.392998	1.768594	1.47468	1.764318	2.149645	1.680469	1.672617	2.88962	3.13178	2.661458	3.687275	4.465619	2.492154	3.104939	4.593485	4.706656	5.448304	3.538269	5.66179	5.818295	4.986506	3.917674	5.83626	4.743255	4.20295	3.622687	3.694157	3.182141	3.094696	3.039792	2.492549	2.790414	6.038076	5.48612	5.038807	2.358681	1.984407	4.205126	4.537439	5.009538	3.088577	2.177845	3.518095	3.274632	3.066559	2.981311	2.248245	3.23538	3.479832	3.415019	5.097261	2.41926	2.862391	3.350527	3.37746	5.983853	4.331276
76	0.8380755	1.101537	1.475489	1.551671	1.19783	0.9628922	1.241897	1.83716	2.283717	1.557414	1.052156	0.9517941	1.6688	4.424461	1.685441	1.101673	1.1268	1.966193	3.012896	1.824512	1.047872	1.19958	1.345759	1.77691	2.157956	1.616463	1.3969	1.844591	1.867941	1.6008	1.124382	1.690966	2.517271	2.147464	1.750155	1.212147	1.210872	2.67718	2.375249	1.859609	1.360638	1.172665	1.939364	2.266766	1.671367	1.239321	1.356884	1.58297	1.419503	1.456887	3.316624	3.659276	3.006813	3.036964	2.102205	4.71953	4.361335	4.450936	4.04504	3.665488	3.093893	2.947751	3.46468	5.529228	5.66519	3.101964	3.25746	2.693918	2.788725	2.374694	3.224727	2.864687	2.841884	2.634186	1.754682	2.04966	2.117052	2.143414	2.055735	1.683349	2.322495	2.379066	3.725519	3.306993	3.152441	3.882895	2.896972	3.595144	4.007798	4.219418	3.854892	4.507928	3.34964	3.282697	2.024374	3.509983	2.716587	3.058741	2.082642	1.542703	1.580873	1.625284	1.368845	1.876766	2.428835	1.34135	1.623858	1.470761	2.042149	2.557955	1.450349	1.846958	2.096761	2.654128	1.648396	1.450674	3.200757	5.254071	2.450543	1.601516	1.841423	2.845479	3.146466	1.760041	1.86251	1.429982	1.53739	1.561626	1.656059	1.525262	1.541795	1.616004	2.226713	2.037793	1.699285	1.33793	1.674958	5.42585	3.080756	1.822059	1.46397	2.023309	2.642873	2.337133	1.77334	1.430159	1.719683	2.055274	1.677386	1.65881	2.904582	3.131538	2.663175	3.689935	4.455286	2.492154	3.104939	4.578786	4.713261	5.427999	3.538621	5.697548	6.076306	4.980859	3.913041	5.865139	4.813509	4.206663	3.620133	3.697034	3.184178	3.094679	3.039461	2.492549	2.790414	6.036975	5.579275	5.068626	2.358752	1.984407	4.2048	4.541173	5.022621	3.073008	2.177845	3.521135	3.277561	3.115376	3.010773	2.248245	3.235448	3.480574	3.406058	5.100283	2.420141	2.863238	3.346962	3.401203	5.980765	4.330131
78	0.8232008	1.05759	1.471048	1.51345	1.196103	0.9387954	1.248816	1.821524	2.34503	1.563244	1.019079	0.9456096	1.658409	4.746076	1.660187	1.092153	1.105662	1.928986	3.074586	1.884818	1.022924	1.166942	1.344319	1.738819	2.082672	1.683996	1.381987	1.854813	1.845053	1.609337	1.122951	1.635729	2.378271	2.12684	1.74196	1.191351	1.184342	2.639103	2.375037	1.84488	1.364272	1.161695	1.939481	2.305896	1.704822	1.230055	1.340702	1.555843	1.409636	1.459211	3.328497	3.660861	3.009645	3.036751	2.102205	4.703644	4.371727	4.461207	4.012269	3.666555	3.093659	2.947445	3.467202	5.591646	5.683972	3.102044	3.257827	2.700739	2.79042	2.374973	3.232115	2.867037	2.841416	2.633833	1.754682	2.04966	2.117052	2.143414	2.055735	1.683349	2.322611	2.37922	3.725141	3.305143	3.156634	3.898114	2.90758	3.611578	4.022246	4.24164	3.87151	4.540831	3.347337	3.267767	2.024421	3.520034	2.718819	3.058716	2.082642	1.542703	1.542417	1.607497	1.344077	1.792592	2.441152	1.335854	1.582905	1.432556	2.005763	2.514826	1.398288	1.854883	2.085843	2.477316	1.609171	1.468885	3.244524	5.402438	2.365948	1.566206	1.877904	3.046741	3.122051	1.742065	1.840675	1.42177	1.540694	1.543359	1.660579	1.511106	1.516443	1.578503	2.269241	1.990347	1.740057	1.35424	1.502234	5.449969	3.062368	1.788997	1.441693	2.033101	2.67609	2.330541	1.748244	1.481796	1.763625	2.067484	1.675874	1.635538	2.904558	3.131652	2.663175	3.691267	4.503591	2.492154	3.104457	4.574738	4.725565	5.492661	3.538764	5.742218	6.198732	5.067732	3.92205	5.880889	4.809762	4.204155	3.622048	3.699638	3.187698	3.095512	3.040304	2.492549	2.790414	6.096251	5.571125	5.09746	2.358752	1.984407	4.217022	4.545613	5.048658	3.083675	2.177845	3.518291	3.286664	3.110371	2.966561	2.248245	3.235787	3.480484	3.39124	5.159683	2.420211	2.864455	3.349724	3.399308	6.009723	4.373487
80	0.8222119	1.063118	1.417594	1.554278	1.181704	0.9283317	1.221165	1.457801	2.438849	1.618093	1.000127	0.9544305	1.601748	4.943219	1.682281	1.075374	1.095662	1.835326	2.996042	1.896992	1.018231	1.157372	1.32998	1.804408	2.086651	1.710482	1.399994	1.798175	1.832425	1.55022	1.127406	1.553265	2.459734	2.154944	1.728154	1.209987	1.17603	2.564638	2.349914	1.855542	1.326909	1.140289	1.922666	2.400419	1.633447	1.214057	1.324459	1.508018	1.386559	1.433688	3.320417	3.662369	3.013854	3.034028	2.102205	4.728909	4.380015	4.454984	4.036564	3.660619	3.097602	2.947506	3.468893	5.621805	5.71485	3.102848	3.262974	2.707877	2.790075	2.374448	3.233304	2.867743	2.842057	2.633646	1.754682	2.04966	2.117052	2.143414	2.055735	1.683349	2.322611	2.379032	3.725755	3.303849	3.155736	3.90213	2.914927	3.60708	4.009896	4.248829	3.872872	4.553541	3.347595	3.268237	2.024421	3.523141	2.718884	3.058881	2.082642	1.542703	1.550143	1.588051	1.337571	1.792978	2.41626	1.289535	1.588083	1.490129	2.011323	2.460168	1.402831	1.779244	1.975233	2.661897	1.668153	1.501695	4.251462	5.65021	2.330078	1.560774	1.849931	3.198094	3.178281	1.735126	1.822611	1.377422	1.559125	1.510831	1.631533	1.549809	1.520793	1.540764	2.218669	1.999806	1.762933	1.320296	1.527348	5.423851	3.055626	1.808531	1.446739	1.982632	2.668192	2.37683	1.733392	1.455333	1.761769	2.025929	1.684996	1.647701	2.902633	3.13153	2.663175	3.691673	4.527771	2.492154	3.10476	4.593666	4.739459	5.570246	3.538321	5.758375	6.453884	5.179571	3.92321	5.928369	4.834372	4.291392	3.621927	3.699893	3.18397	3.095605	3.040938	2.492549	2.790414	6.141291	5.619596	5.132354	2.358752	1.984407	4.224445	4.569162	5.099243	3.090264	2.177845	3.519875	3.283917	3.157992	2.988892	2.248245	3.236899	3.4807	3.411	5.227777	2.418962	2.864307	3.350178	3.39799	6.071187	4.390539
82	0.7969624	1.055032	1.461911	1.489483	1.154472	0.9102794	1.242667	1.371584	2.370198	1.594509	0.9919915	0.9245545	1.570952	5.238307	1.64251	1.05274	1.072729	1.803854	2.963184	1.838288	1.004343	1.129806	1.335711	1.745381	2.01197	1.669252	1.378825	1.760301	1.801685	1.538351	1.104831	1.630471	2.430883	2.163363	1.755388	1.22467	1.164564	2.628145	2.363859	1.790668	1.335563	1.140741	1.901096	2.344037	1.612657	1.198463	1.313411	1.500696	1.389442	1.392614	3.314216	3.66798	3.007326	3.035232	2.102109	4.715068	4.383901	4.444193	4.023564	3.663008	3.102418	2.947447	3.468845	5.632912	5.718395	3.103054	3.262558	2.709685	2.790795	2.375157	3.235267	2.869479	2.842039	2.635565	1.754682	2.04966	2.117052	2.143414	2.055735	1.683349	2.322611	2.379102	3.721668	3.305648	3.154284	3.913356	2.932638	3.60565	4.044439	4.268176	3.90838	4.585768	3.355405	3.275139	2.024305	3.525726	2.719555	3.061622	2.082642	1.542703	1.522918	1.558707	1.31541	1.792722	2.361516	1.282908	1.523773	1.433888	1.925468	2.426265	1.370632	1.70621	1.974655	2.49629	1.667369	1.492482	4.440666	5.665469	2.196063	1.524841	1.859056	3.124395	3.123153	1.73893	1.78036	1.377653	1.494831	1.492571	1.634946	1.41961	1.505917	1.515131	2.200045	1.895619	1.689331	1.274805	1.576354	5.545673	3.022982	1.738044	1.410079	2.044704	2.751631	2.269094	1.698017	1.391773	1.809391	2.057181	1.720577	1.617602	2.905973	3.13178	2.663175	3.691698	4.523792	2.492154	3.104939	4.599732	4.745025	5.658858	3.538157	5.77408	6.600106	5.156083	3.928186	5.954379	4.882992	4.281218	3.622211	3.703986	3.190247	3.095605	3.040819	2.492549	2.790414	6.099447	5.631609	5.163454	2.358466	1.984068	4.220392	4.547709	5.14811	3.088454	2.177845	3.510209	3.282019	3.192101	2.967848	2.248245	3.236722	3.4807	3.401431	5.19781	2.418613	2.862597	3.35004	3.397612	6.130617	4.3767
84	0.8039033	1.021521	1.413197	1.494013	1.178097	0.8942621	1.227369	1.408083	2.315242	1.616953	0.9827538	0.9429199	1.537864	5.355091	1.608534	1.069143	1.059633	1.783296	3.035874	1.750971	0.9911344	1.127067	1.2858	1.709003	2.023399	1.583039	1.357086	1.76227	1.759559	1.556945	1.111431	1.553224	2.474464	2.139834	1.700563	1.221615	1.161808	2.644467	2.476896	1.862557	1.340074	1.13297	1.85615	2.330616	1.594203	1.199321	1.315725	1.490598	1.352566	1.390237	3.31404	3.664793	3.007567	3.035883	2.102205	4.709924	4.363222	4.450808	4.019625	3.662348	3.100424	2.947656	3.473205	5.613843	5.725845	3.103003	3.26053	2.708386	2.790719	2.3749	3.234164	2.868771	2.842385	2.6359	1.754682	2.04966	2.117052	2.143414	2.055735	1.683349	2.322611	2.378944	3.722568	3.305017	3.15275	3.921312	2.924982	3.600533	4.056482	4.265898	3.921959	4.592709	3.357846	3.268752	2.024421	3.530177	2.71912	3.060518	2.082642	1.542703	1.541845	1.543309	1.288045	1.707104	2.399714	1.27307	1.536804	1.438952	1.910717	2.409547	1.365329	1.706311	1.971803	2.5246	1.624774	1.438053	4.383187	5.789204	2.107398	1.513897	1.850258	3.201301	3.127739	1.716067	1.744987	1.354863	1.485727	1.479071	1.603477	1.5153	1.487334	1.473036	2.093869	1.936945	1.674932	1.299324	1.463881	5.505198	2.988238	1.711387	1.430275	2.025621	2.736183	2.291619	1.69203	1.380578	1.76291	2.076535	1.684865	1.599981	2.905307	3.13178	2.663175	3.69224	4.55236	2.492154	3.104939	4.60021	4.729158	5.672901	3.538503	5.787359	6.714137	5.207969	3.925395	5.933927	4.918326	4.333148	3.622113	3.703884	3.187511	3.095605	3.040901	2.492549	2.790414	6.113673	5.721644	5.138818	2.358752	1.981065	4.21203	4.542651	5.138147	3.092877	2.177845	3.514461	3.284671	3.211968	2.988011	2.248245	3.236388	3.480495	3.40174	5.258459	2.419791	2.864109	3.35052	3.399353	6.070598	4.37151
86	0.8265299	1.077587	1.429609	1.492801	1.161883	0.8787469	1.211887	1.315544	2.423495	1.52823	0.9573967	0.9471037	1.526127	5.323048	1.593794	1.065536	1.076172	1.722038	3.093831	1.713838	0.9914803	1.128714	1.274152	1.809698	2.034921	1.632544	1.354139	1.733471	1.745936	1.534378	1.087234	1.449773	2.511569	2.158188	1.723156	1.237277	1.154213	2.637332	2.646284	1.832682	1.340712	1.125635	1.767188	2.442565	1.540277	1.180358	1.293184	1.489484	1.387859	1.360194	3.312982	3.663152	3.011102	3.036203	2.102205	4.71758	4.341213	4.440304	4.010119	3.647952	3.098667	2.94756	3.470941	5.625878	5.760529	3.102235	3.263813	2.720227	2.790866	2.375173	3.234887	2.861706	2.842224	2.637938	1.754682	2.04966	2.117052	2.143414	2.055735	1.683304	2.322611	2.378538	3.723701	3.302875	3.153462	3.921807	2.925112	3.597385	4.067548	4.264336	3.925371	4.627223	3.366145	3.270214	2.024421	3.531624	2.719018	3.05644	2.082514	1.542703	1.537851	1.515132	1.260137	1.726248	2.323336	1.265177	1.507482	1.413524	1.886454	2.474632	1.353169	1.683355	1.871351	2.559405	1.618554	1.523623	5.274839	5.553265	2.016762	1.515711	1.896214	3.570733	3.18144	1.719863	1.715907	1.352784	1.462422	1.474894	1.641348	1.470575	1.482262	1.524433	2.135506	1.891689	1.664211	1.294525	1.514094	5.563754	2.915045	1.723732	1.379151	2.080204	2.831762	2.245221	1.67162	1.378041	1.753504	2.029041	1.750085	1.577079	2.905913	3.13178	2.663175	3.69224	4.544606	2.492154	3.10482	4.606049	4.759972	5.719939	3.538321	5.797366	6.735693	5.250877	3.93359	5.96044	4.921162	4.32856	3.621608	3.702799	3.189182	3.095605	3.040909	2.492549	2.790414	6.066737	5.713027	5.152822	2.358099	1.984407	4.219386	4.541899	5.15942	3.075552	2.177845	3.51972	3.285099	3.242136	2.985066	2.248245	3.236107	3.480431	3.400997	5.245785	2.420509	2.863363	3.351809	3.395482	6.113995	4.34663
