Gene,func,WG_Mut_BF,WG_WT_BF,group,pool_group
AFF1,Other,-8.035,-9.4435,Normal,none
AFF2,Other,-4.607,-8.488,Normal,none
AFF3,Other,-9.09,-7.74,Normal,none
AFF4,Other,-8.931,-10.992,Normal,none
AFG1L,Other,-10.134,-11.717,Normal,none
AFG3L2,Other,21.22,6.661,Depleted,bagel
AFM,NEG,-5.224,-9.0655,Normal,none
AFMID,Other,-12.612,-11.86,Normal,none
AFP,Other,-9.661,-7.7565,Normal,none
AFTPH,Other,1.917,-2.176,Normal,none
AGA,Other,2.497,-2.5745,Normal,none
AGAP1,Other,-5.077,-8.895,Normal,none
AGAP11,Other,2.849,1.2705,Normal,none
AGAP2,Other,-11.099,-6.3245,Normal,none
AGAP3,Other,-3.557,-3.8785,Normal,none
AGAP4,Other,-7.047,-8.3705,Normal,none
AGAP5,Other,-6.828,-7.6795,Normal,none
AGAP6,Other,-6.283,-3.2715,Normal,none
AGAP9,Other,-5.453,-7.054,Normal,none
AGBL1,Other,-9.004,-10.3635,Normal,none
AGBL2,Other,-11.142,-8.8525,Normal,none
AGBL3,Other,-9.741,-10.3835,Normal,none
AGBL4,Other,-8.899,-8.1695,Normal,none
AGBL5,Other,4.969,2.147,Normal,none
AGER,Other,-10.547,-11.52,Normal,none
AGFG1,Other,-2.328,-3.566,Normal,none
AGFG2,Other,-7.758,-1.142,Normal,none
AGGF1,Other,-5.669,-9.516,Normal,none
AGK,Other,24.666,14.252,Depleted,bagel
AGL,Other,-3.725,-6.0625,Normal,none
AGMAT,Other,-7.756,-10.095,Normal,none
AGMO,Other,-2.001,-4.8825,Normal,none
AGO1,Other,-6.971,-3.415,Normal,none
AGO2,Other,-2.966,-0.994,Normal,none
AGO3,Other,-10.889,-9.906,Normal,none
AGO4,Other,-3.887,-8.5445,Normal,none
AGPAT1,Other,-6.637,-4.865,Normal,none
AGPAT2,Other,6.988,6.13,Normal,none
AGPAT3,Other,-3.973,-6.555,Normal,none
AGPAT4,Other,-9.234,-8.987,Normal,none
AGPAT5,Other,-10.634,-9.752,Normal,none
AGPS,Other,-1.599,3.7625,Normal,LFC
AGR2,Other,-10.52,-5.3275,Normal,none
AGR3,Other,-6.852,-8.854,Normal,none
AGRN,Other,1.803,0.1045,Normal,none
AGRP,Other,-5.115,-2.2755,Normal,none
AGT,Other,-7.882,-6.7615,Normal,none
AGTPBP1,Other,-6.041,-9.134,Normal,none
AGTR1,Other,-7.758,-6.1135,Normal,none
AGTR2,Other,-3.422,-10.9695,Normal,LFC
AGTRAP,Other,-8.312,-8.9975,Normal,none
AGXT,Other,-9.388,-8.2975,Normal,none
AGXT2,Other,-6.99,-8.9295,Normal,none
AHCTF1,Other,4.83,10.5515,Normal,LFC
AHCY,CEG,-7.346,-10.704,Normal,none
AHCYL1,Other,-6.613,-0.2335,Normal,none
AHCYL2,Other,-5.449,-5.2825,Normal,none
AHDC1,Other,-5.064,-2.9465,Normal,none
AHI1,Other,-1.07,-1.855,Normal,none
AHNAK,Other,-7.517,-1.2265,Normal,none
AHNAK2,Other,-7.56,-9.357,Normal,none
AHR,Other,-5.887,-9.347,Normal,none
AHRR,Other,-7.197,-1.424,Normal,none
AHSA1,Other,-8.764,-10.542,Normal,none
AHSA2,Other,-8.59,-9.8925,Normal,none
AHSG,Other,4.848,-3.497,Normal,none
AHSP,Other,-11.984,-8.833,Normal,none
AICDA,NEG,-8.893,-11.1705,Normal,none
AIDA,Other,-6.597,-1.9385,Normal,none
AIF1,Other,-9.375,-8.8955,Normal,none
AIF1L,Other,-4.057,-3.785,Normal,none
AIFM1,Other,9.099,13.0325,Normal,LFC
AIFM2,Other,-10.442,-9.494,Normal,none
AIFM3,Other,-9.002,-7.333,Normal,none
AIG1,Other,-7.355,-10.427,Normal,none
AIM1,Other,1.339,-0.365,Normal,none
AIM1L,Other,-9.081,-4.6655,Normal,none
AIM2,Other,-9.254,-11.4485,Normal,none
AIMP1,Other,-10.036,-8.688,Normal,none
AIMP2,Other,-1.902,-7.8425,Normal,none
AIP,Other,-11.858,-10.096,Normal,none
AIPL1,NEG,-11.039,-9.0005,Normal,none
AIRE,Other,-9.854,-7.881,Normal,none
AJAP1,Other,0.71,-0.717,Normal,none
AJUBA,Other,-11.299,-5.808,Normal,none
AK1,Other,-8.391,-5.7065,Normal,none
AK2,Other,-6.135,-9.5695,Normal,none
AK3,Other,-5.821,-5.4475,Normal,none
AK4,Other,-10.286,-8.1405,Normal,none
AK5,Other,-5.43,-7.455,Normal,none
AK7,Other,-11.09,-9.344,Normal,none
AK8,Other,-5.706,-3.4915,Normal,none
AK9,Other,-10.035,-9.5145,Normal,none
AKAIN1,Other,-7.25,-9.555,Normal,none
AKAP1,Other,-10.627,-10.056,Normal,none
AKAP10,Other,-3.421,-4.0995,Normal,none
AKAP11,Other,-6.562,-9.5555,Normal,none
AKAP12,Other,-9.301,-9.8295,Normal,none
AKAP13,Other,2.509,-6.511,Depleted,bagel
AKAP14,Other,-9.022,-6.375,Normal,none
AKAP17A,Other,-5.787,-5.501,Normal,none
AKAP2,Other,4.713,3.943,Normal,none
AKAP3,Other,-2.745,-4.907,Normal,none
AKAP4,Other,-6.887,-8.932,Normal,none
AKAP5,Other,0.577,-0.5425,Normal,none
AKAP6,Other,-8.024,-9.34,Normal,none
AKAP7,Other,-9.839,-7.688,Normal,none
AKAP8,Other,-7.132,-7.9115,Normal,none
AKAP8L,Other,-10.415,-7.1815,Normal,none
AKAP9,Other,-7.827,-10.482,Normal,none
AKIP1,Other,-8.161,-5.9855,Normal,none
AKIRIN1,Other,-8.118,-5.98,Normal,none
AKIRIN2,Other,9.514,8.5935,Normal,none
AKNA,Other,-3.398,-8.8365,Normal,none
AKR1A1,Other,-8.436,-7.672,Normal,none
AKR1B1,Other,-6.474,-9.4985,Normal,none
AKR1B10,Other,-10.916,-10.2935,Normal,none
AKR1B15,Other,-6.644,-6.711,Normal,none
AKR1C1,Other,-6.645,-8.856,Normal,none
AKR1C2,Other,-11.412,-12.0765,Normal,none
AKR1C3,Other,-9.612,-8.8945,Normal,none
